name,color,velocity
60,#000000,0
59,#1E1E1E,1
58,#7F7F7F,2
57,#FFFFFF,3
1,#FF4C4C,4
2,#FF0000,5
3,#590000,6
4,#190000,7
5,#FFBD6C,8
6,#FF5400,9
7,#591D00,10
8,#271B00,11
9,#FFFF4C,12
10,#FFFF00,13
11,#595900,14
12,#191900,15
13,#88FF4C,16
14,#54FF00,17
15,#1D5900,18
16,#142B00,19
17,#4CFF4C,20
18,#00FF00,21
19,#005900,22
20,#001900,23
21,#4CFF5E,24
22,#00FF19,25
23,#00590D,26
24,#001902,27
25,#4CFF88,28
26,#00FF55,29
27,#00591D,30
28,#001F12,31
29,#4CFFB7,32
30,#00FF99,33
31,#005935,34
32,#001912,35
33,#4CC3FF,36
34,#00A9FF,37
35,#004152,38
36,#001019,39
37,#4C88FF,40
38,#0055FF,41
39,#001D59,42
40,#000819,43
41,#4C4CFF,44
42,#0000FF,45
43,#000059,46
44,#000019,47
45,#874CFF,48
46,#5400FF,49
47,#190064,50
48,#0F0030,51
49,#FF4CFF,52
50,#FF00FF,53
51,#590059,54
52,#190019,55
53,#FF4C87,56
54,#FF0054,57
55,#59001D,58
56,#220013,59
0xED4325,#FF1500,60
0xBD6100,#993500,61
0xB08B00,#795100,62
0x85961F,#436400,63
0x539F31,#033900,64
0x0A9C8E,#005735,65
0x007ABD,#00547F,66
0x0303FF,#0000FF,67
0x2F52A2,#00454F,68
0x624BAD,#2500CC,69
0x7B7B7B,#7F7F7F,70
0x3C3C3C,#202020,71
0xFF0505,#FF0000,72
0xBFBA69,#BDFF2D,73
0xA6BE00,#AFED06,74
0x7AC634,#64FF09,75
0x3DC300,#108B00,76
0x00BFAF,#00FF87,77
0x10A4EE,#00A9FF,78
0x5480E4,#002AFF,79
0x886CE4,#3F00FF,80
0xA34BAD,#7A00FF,81
0xB73D69,#B21A7D,82
0x965735,#402100,83
0xF66C03,#FF4A00,84
0xBFFB00,#88E106,85
0x87FF67,#72FF15,86
0x1AFF2F,#00FF00,87
0x25FFA8,#3BFF26,88
0x5CFFE8,#59FF71,89
0x19E9FF,#38FFCC,90
0x8BC5FF,#5B8AFF,91
0x92A7FF,#3151C6,92
0xB88DFF,#877FE9,93
0xD86CE4,#D31DFF,94
0xFF39D4,#FF005D,95
0xFFA529,#FF7F00,96
0xFFF034,#B9B000,97
0xE3F403,#90FF00,98
0xDBC300,#835D07,99
0xBE9D63,#392b00,100
0x89B47D,#144C10,101
0x88C2BA,#0D5038,102
0x9BB3C4,#15152A,103
0x85A5C2,#16205A,104
0xC68B7C,#693C1C,105
0xF14080,#A8000A,106
0xFF94A6,#DE513D,107
0xFFA374,#D86A1C,108
0xFFEE9F,#FFE126,109
0xD2E498,#9EE12F,110
0xBAD074,#67B50F,111
0xA9A9A9,#1E1E30,112
0xD4FDE1,#DCFF6B,113
0xCDF1F8,#80FFBD,114
0xB9C1E3,#9A99FF,115
0xCDBBE4,#8E66FF,116
0xD0D0D0,#404040,117
0xDFE6E5,#757575,118
0xFFFFFF,#E0FFFF,119
Red,#A00000,120
RedHalf,#350000,121
Green,#1AD000,122
GreenHalf,#074200,123
Yellow,#B9B000,124
YellowHalf,#3F3100,125
Amber,#B35F00,126
AmberHalf,#4B1502,127
