tuplename	tooltip	style	forceUnderscore	
				
Name	The Name of the object. Needs to be Unique. Any spaces will be converted to underscores.	tduLegal		
				
Tx	X Position of the object.			
Ty	Y Position of the object.			
Tz	Z Position of the object.			
				
Rx	X Rotation of the object.			
Ry	Y Rotation of the object.			
Rz	Z Rotation of the object.			
				
Sx	X Scale of the object.			
Sy	Y Scale of the object.			
Sz	Z Scale of the object.			
Uniformscale	Adjust the overall scale of the object uniformly by adjusting this attribute.			
				
Showicon	Enable or disable the rendering of this object's icon in the viewport.			
Showselectionhighlight	Enable or disable the rendering of this object's selection highlighting in the viewport.			
				
Pivotsnapping	Enable this to snap translate to and from the objects pivot point.			
Hullsnapping	Enable this to snap to and from the Fixture's Hull points.			
Pixsnapping	Enable this to snap to and from the Fixture's Pix points.			
Vertexsnapping	Enable this to snap to and from the object's geometry verticies.			
				
Fixtureprofile	Choose a json formatted Custom Fixture profile. You can create these profiles in GeoPix Tools -> Custom Fixture Editor.			
				
Reloadobj	Force reloads the obj from disk.			
Recalculatenormals	Recalculate the normals of the geometry.			
				
Resetmaterials	Reset the material attributes to default.			
Basecolorstrength	Base diffuse color of the object.			
Basecolortexture	Load a diffuse texture from disk. 8 or 16 bit is fine.			
Basecolorissrgb	Enable this for diffuse textures that are encoded as sRGB when saved. If you're not sure, assume it is and leave this on.			
Normalmapstrength	Strength multiplier of the Normal Map texture.			
Normaltexture	Load a normal map file from disk. Use 16 bit where possible, will look much better.			
Normalformat	Choose the normal format of the loaded normal texture. This is important to get right, as the normals will just look strange if this is wrong. GeoPix assumes OpenGL style, but if the textures were saved for DirectX (Unreal for example) then change to that here.			
Roughnessstrength	Roughness strength attribute of the pbr material.			
Roughnesstexture	Load a roughness texture from disk.			
Aostrength	Ambient occlusion strength parameter.			
Aotexture	Load an ambient occlusion texture from disk.			
Emitcolortexture	Load an emission texture from disk.			
Emitcolorstrength	Set the emission color strength.			
Specularlevelstrength	Set the specular level strength.			
Specularleveltexture	Load a specular level texture from disk.			
				
